DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT
2019-01-30	30531825	Morgan MD	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531825	Genome-wide study of hair colour in UK Biobank explains most of the SNP heritability.	Brown vs. black hair color	269,394 British ancestry brown hair individuals, 14,526 British ancestry black hair individuals	NA	Affymetrix [9154080] (imputed)	56
2019-01-30	30531825	Morgan MD	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531825	Genome-wide study of hair colour in UK Biobank explains most of the SNP heritability.	Blond vs. brown/black hair color	39,397 British ancestry blond hair individuals, 283,920 British ancestry brown or black hair individuals	NA	Affymetrix [9154080] (imputed)	213
2019-01-28	30535121	Gao XR	2018-12-07	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30535121	Genome-wide association analyses identify 139 loci associated with macular thickness in the UK Biobank cohort.	Macular thickness	59,814 European ancestry individuals	8,609 European ancestry individuals	Affymetrix [11100000] (imputed)	139
2019-01-29	30498034	Terao C	2018-11-29	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/30498034	Genetic determinants and an epistasis of LILRA3 and HLA-B*52 in Takayasu arteritis.	Takayasu arteritis	411 Japanese ancestry cases, 2,158 Japanese ancestry controls	219 Japanese ancestry cases, 3,770 Japanese ancestry controls	Illumina [5878075] (imputed)	7
2019-01-25	30423114	Laufer VA	2018-11-13	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30423114	Genetic Influences on Susceptibility to Rheumatoid Arthritis in African-Americans.	Rheumatoid arthritis	916 African American cases, 1,392 African American controls,	4,873 East Asian ancestry cases, 17,641 East Asian ancestry controls, 19,234 European ancestry cases, 61,654 European ancestry controls	Illumina [8380626] (imputed)	190
2019-01-15	30395268	Khanshour AM	2018-11-01	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30395268	Genome-wide meta-analysis and replication studies in multiple ethnicities identify novel adolescent idiopathic scoliosis susceptibility loci.	Adolescent idiopathic scoliosis	2,295 East Asian ancestry cases, 11,084 East Asian ancestry controls, 1,503 European ancestry cases, 18,594 European ancestry controls	2,737 East Asian ancestry cases, 56,815 East Asian ancestry controls, 1,421 European ancestry cases, 1,966 European ancestry controls	Affymetrix, Illumina [3493832] (imputed)	10
2019-01-21	30374069	Styrkarsdottir U	2018-10-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30374069	Meta-analysis of Icelandic and UK data sets identifies missense variants in SMO, IL11, COL11A1 and 13 more new loci associated with osteoarthritis.	Knee osteoarthritis	23,877 European ancestry cases, 562,153 European ancestry controls	NA	Affymetrix, Illumina [11554240] (imputed)	7
2019-01-21	30374069	Styrkarsdottir U	2018-10-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30374069	Meta-analysis of Icelandic and UK data sets identifies missense variants in SMO, IL11, COL11A1 and 13 more new loci associated with osteoarthritis.	Osteoarthritis (hip)	17,151 European ancestry cases, 596,639 European ancestry controls	NA	Affymetrix, Illumina [11554240] (imputed)	32
2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Free thyroxine concentration	49,269 European ancestry individuals	up to 22,383 European ancestry individuals	Affymetrix, Illumina [8048941] (imputed)	19
2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Hyperthyroidism	1,840 European ancestry cases, 49,983 European ancestry controls	NA	Affymetrix, Illumina [5965951] (imputed)	9
2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Hypothyroidism	3,340 European ancestry cases, 49,983 European ancestry controls	NA	Affymetrix, Illumina [5965951] (imputed)	8
2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Thyroid stimulating hormone	54,288 European ancestry individuals	up to 22,383 European ancestry individuals	Affymetrix, Illumina [8048941] (imputed)	22
2019-01-16	30361487	Yan Q	2018-10-25	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30361487	Genome-wide association study of brain amyloid deposition as measured by Pittsburgh Compound-B (PiB)-PET imaging.	Cerebral amyloid deposition (PET imaging)	983 European ancestry individuals	NR	Illumina [at least 7000000] (imputed)	41
2018-12-03	30348214	Zhang Q	2018-10-22	Genome Med	www.ncbi.nlm.nih.gov/pubmed/30348214	Genotype effects contribute to variation in longitudinal methylome patterns in older people.	DNA methylation variation (age effect)	Up to 954 individuals	NA	Illumina [7760689] (imputed)	436
2018-12-14	30336701	Sanchez-Roige S	2018-10-19	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30336701	Genome-Wide Association Study Meta-Analysis of the Alcohol Use Disorders Identification Test (AUDIT) in Two Population-Based Cohorts.	Alcohol use disorder (total score)	141,932 European ancestry individuals	NA	NR [16213998]	15
2018-12-03	30343302	Kim SH	2018-10-19	Gynecol Obstet Invest	www.ncbi.nlm.nih.gov/pubmed/30343302	High Genetic Risk Scores of ASIC2, MACROD2, CHRM3, and C2orf83 Genetic Variants Associated with Polycystic Ovary Syndrome Impair Insulin Sensitivity and Interact with Energy Intake in Korean Women.	Polycystic ovary syndrome	182 Korean ancestry cases, 240 Korean ancestry controls	NA	Affymetrix [NR]	3
2018-12-14	30336701	Sanchez-Roige S	2018-10-19	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30336701	Genome-Wide Association Study Meta-Analysis of the Alcohol Use Disorders Identification Test (AUDIT) in Two Population-Based Cohorts.	Alcohol use disorder (dependence and problematic use scores)	121,604 British ancestry individuals	NA	NR [16213998]	5
2018-12-14	30336701	Sanchez-Roige S	2018-10-19	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30336701	Genome-Wide Association Study Meta-Analysis of the Alcohol Use Disorders Identification Test (AUDIT) in Two Population-Based Cohorts.	Alcohol use disorder (consumption score)	121,604 British ancestry individuals	NA	NR [16213998]	9
2019-01-21	30326835	Li Z	2018-10-16	BMC Genomics	www.ncbi.nlm.nih.gov/pubmed/30326835	Genetic variants in nuclear DNA along with environmental factors modify mitochondrial DNA copy number: a population-based exome-wide association study.	Mitochondrial DNA levels	301 Chinese ancestry individuals	NA	Illumina [238927]	1
2019-01-15	30320955	Baird DA	2018-10-15	J Bone Miner Res	www.ncbi.nlm.nih.gov/pubmed/30320955	Identification of novel loci associated with hip shape: a meta-analysis of genome-wide association studies.	Hip shape (DXA scan)	10,217 European ancestry individuals, 5,717 individuals	NA	Illumina [7191926] (imputed)	12
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	Affymetrix, Illumina [3378933] (imputed)	19
2018-12-14	30305740	Elliott LT	2018-10-10	Nature	www.ncbi.nlm.nih.gov/pubmed/30305740	Genome-wide association studies of brain imaging phenotypes in UK Biobank.	Brain imaging measurements	8,428 British ancestry individuals	4,386 European ancestry individuals	NR [11734353] (imputed)	6
2019-01-28	30305637	McMaster ML	2018-10-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30305637	Two high-risk susceptibility loci at 6p25.3 and 14q32.13 for Waldenström macroglobulinemia.	Waldenström macroglobulinemia / lymphoplasmacytic lymphoma	217 European ancestry cases, 3,798 European ancestry controls	313 European ancestry cases, 564 European ancestry controls	Illumina [6440053] (imputed)	3
2018-12-05	30289880	Qi G	2018-10-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/30289880	Heritability informed power optimization (HIPO) leads to enhanced detection of genetic associations across multiple traits.	Lipid traits (pleiotropy) (HIPO component 1)	188,577 European ancestry individuals	NA	NR [1800000]	24
2018-12-05	30289880	Qi G	2018-10-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/30289880	Heritability informed power optimization (HIPO) leads to enhanced detection of genetic associations across multiple traits.	Psychiatric diseases (pleiotropy) (HIPO component 1)	4,949 autism cases, 2787 ADHD cases, 6,990 bipolar disorder cases, 9,227 depression cases, 9,379 schizophrenia cases, 27,888 controls	NA	NR [1050000]	1
2018-12-05	30289880	Qi G	2018-10-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/30289880	Heritability informed power optimization (HIPO) leads to enhanced detection of genetic associations across multiple traits.	Social science traits (pleiotropy) (HIPO component 1)	up to 630,791 European ancestry individuals	NA	NR [2100000]	14
2018-12-05	30289880	Qi G	2018-10-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/30289880	Heritability informed power optimization (HIPO) leads to enhanced detection of genetic associations across multiple traits.	Lipid traits (pleiotropy) (HIPO component 2)	188,577 European ancestry individuals	NA	NR [1800000]	10
2018-11-28	30287856	Zheng R	2018-10-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30287856	Genome-wide association study identifies two risk loci for tuberculosis in Han Chinese.	Tuberculosis	833 Han Chinese ancestry cases, 1,220 Han Chinese ancestry controls	2,116 Han Chinese ancestry cases, 3,870 Han Chinese ancestry controls	Affymetrix [5374021] (imputed)	2
2018-11-29	30287806	Zhou H	2018-10-04	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30287806	Genome-wide association study identifies glutamate ionotropic receptor GRIA4 as a risk gene for comorbid nicotine dependence and major depression.	Nicotine dependence and major depression (severity of comorbidity)	3,724 African American individuals	NA	Illumina [9520174] (imputed)	52
2018-12-11	30281874	Tanikawa C	2018-10-03	Cancer Sci	www.ncbi.nlm.nih.gov/pubmed/30281874	A GWAS identifies gastric cancer susceptibility loci at 12q24.11-12 and 20q11.21.	Gastric cancer	6,171 Japanese ancestry cases, 27,178 Japanese ancestry controls	5,336 Japanese ancestry cases, 11,726 Japanese ancestry controls	Illumina [6573681] (imputed)	6
2018-11-30	30279531	Baselmans BML	2018-10-02	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30279531	A genetic perspective on the relationship between eudaimonic -and hedonic well-being.	Eudaimonic well-being	108,154 British ancestry individuals	NA	Affymetrix [~ 8600000] (imputed)	21
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Parasubiculum volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	HATA volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Fimbria volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal tail volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	7
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal fissure volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Dentate gyrus molecular layer volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	5
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Dentate gyrus granule cell layer volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	5
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal subfield CA4 volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	5
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal subfield CA3 volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	3
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal subfield CA1 volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	3
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Subiculum volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	4
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Presubiculum volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Parasubiculum volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	HATA volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Fimbria volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal tail volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	7
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal fissure volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Dentate gyrus molecular layer volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Dentate gyrus granule cell layer volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal subfield CA4 volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal subfield CA3 volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	0
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Hippocampal subfield CA1 volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	2
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Subiculum volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Presubiculum volume (corrected for total hippocampal volume)	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1
2018-11-30	30279531	Baselmans BML	2018-10-02	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30279531	A genetic perspective on the relationship between eudaimonic -and hedonic well-being.	Hedonic well-being	221,575 British ancestry individuals	NA	Affymetrix [~ 8600000] (imputed)	6
2019-01-11	30279459	van der Meer D	2018-10-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30279459	Brain scans from 21,297 individuals reveal the genetic architecture of hippocampal subfield volumes.	Total hippocampal volume	21,297 European ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	8
2018-12-11	30281099	Fadista J	2018-10-02	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30281099	Genome-wide meta-analysis identifies BARX1 and EML4-MTA3 as new loci associated with infantile hypertrophic pyloric stenosis.	Infantile hypertrophic pyloric stenosis	1,395 Danish ancestry cases, 4,438 Danish ancestry controls	1,794 European ancestry cases, 633 Hispanic ancestry cases, 1,875 European ancestry controls, 633 Hispanic ancestry controls	Illumina [6576307] (imputed)	13
2019-01-16	30305239	Macias-Kauffer LR	2018-10-01	Int J Cardiol	www.ncbi.nlm.nih.gov/pubmed/30305239	Genetic contributors to serum uric acid levels in Mexicans and their effect on premature coronary artery disease.	Serum uric acid levels	2153 Mexican ancestry individuals	NA	Illumina [865896] (imputed)	3
2018-11-26	30275531	Klarin D	2018-10-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30275531	Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.	Total cholesterol levels	215,551 European ancestry individuals, 57,332 African American individuals, 24,743 Hispanic individuals	Up to 319,677 individuals	Affymetrix [up to 31400000] (imputed)	140
2018-11-26	30275531	Klarin D	2018-10-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30275531	Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.	Triglycerides	215,551 European ancestry individuals, 57,332 African American individuals, 24,743 Hispanic individuals	Up to 319,677 individuals	Affymetrix [up to 31400000] (imputed)	151
2018-11-26	30275531	Klarin D	2018-10-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30275531	Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.	LDL cholesterol	215,551 European ancestry individuals, 57,332 African American individuals, 24,743 Hispanic individuals	Up to 319,677 individuals	Affymetrix [up to 31400000] (imputed)	125
2018-11-26	30275531	Klarin D	2018-10-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30275531	Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.	HDL cholesterol	215,551 European ancestry individuals, 57,332 African American individuals, 24,743 Hispanic individuals	Up to 319,677 individuals	Affymetrix [up to 31400000] (imputed)	158
2018-11-30	30276832	Edwards AC	2018-10-01	Alcohol Clin Exp Res	www.ncbi.nlm.nih.gov/pubmed/30276832	Meta-Analysis of Genetic Influences on Initial Alcohol Sensitivity.	Initial alcohol sensitivity	6,039 European ancestry individuals, 892 African ancestry individuals, 408 American ancestry individuals	NA	Affymetrix, Illumina [15642250] (imputed)	34
2018-12-06	30319691	Liu C	2018-09-24	Front Genet	www.ncbi.nlm.nih.gov/pubmed/30319691	Genome-Wide Association and Mechanistic Studies Indicate That Immune Response Contributes to Alzheimer's Disease Development.	Cerebrospinal fluid AB1-42 levels	235 early mild cognitive impairment cases, 249 late mild cognitive impairment cases, 47 Alzheimer's disease cases, 281 controls.	NA	Illumina [575353]	14
2018-12-11	30248107	Wu S	2018-09-24	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/30248107	Genome-wide association studies and CRISPR/Cas9-mediated gene editing identify regulatory variants influencing eyebrow thickness in humans.	Eyebrow thickness	2,961 Han Chinese ancestry individuals, 721 Uyghur ancestry individuals, 2,301 Latin American ancestry individuals	4,411 Dutch ancestry individuals	Illumina [up to 7224952] (imputed)	4
